Model_name,Classes,Precision,Recall,F1_Score,Support,Training_Time,Predicting_Time
SVM_1,Class-0,0.964246984247655,0.9842068627115356,0.9741246894059182,87633.0,2.430360754330953,0.0003852407137552897
SVM_1,Class-1,0.0,0.0,0.0,76.0,2.430360754330953,0.0003852407137552897
SVM_1,Class-2,0.9731789088692472,0.6415511352220213,0.7733107289900701,4977.0,2.430360754330953,0.0003852407137552897
SVM_1,Class-3,0.0,0.0,0.0,1168.0,2.430360754330953,0.0003852407137552897
SVM_1,Class-4,0.8214826021180031,0.9718516108037748,0.8903629723485131,6146.0,2.430360754330953,0.0003852407137552897
SVM_1,accuracy,0.95415,0.95415,0.95415,0.95415,2.430360754330953,0.0003852407137552897
SVM_1,macro avg,0.551781699046981,0.5195219217474663,0.5275596781489004,100000.0,2.430360754330953,0.0003852407137552897
SVM_1,weighted avg,0.9439219947263424,0.95415,0.9468640723294637,100000.0,2.430360754330953,0.0003852407137552897
